College ID,College Name,Campus ID,Campus,City/Town,Postal Code,Program Name,Program Type,Program Category,Audit,"GRADUATION RATE
(%)","GRADUATE EMPLOYMENT RATE
(%)","GRADUATE EMPLOYMENT RATE IN THE FIELD OF STUDY
(%)","GRADUATE SATISFACTION RATE
(%)
","EMPLOYER SATISFACTION RATE
(%)
","OSAP DEFAULT RATE
(%)"
PROV,OVERALL - SURVEY POPULATION (All 2023 OSAP-APPROVED PCCS),+,+,,,OVERALL - SURVEY POPULATION (All 2023 OSAP-APPROVED PCCS),,,,0.76,0.74,0.54,0.78,0.94,0.07
200002,ROBAR CENTRE FOR TRANSPORT TRAINING INC.,+,+,,,+,,,Y,0.89,0.71,0.69,0.64,1.00,ND
200002,ROBAR CENTRE FOR TRANSPORT TRAINING INC.,101148,"ROBAR CENTRE FOR TRANSPORT TRAINING, HANNON",HANNON,L0R1P0,+,,,Y,0.89,0.71,0.69,0.64,1.00,ND
200002,ROBAR CENTRE FOR TRANSPORT TRAINING INC.,101148,"ROBAR CENTRE FOR TRANSPORT TRAINING, HANNON",HANNON,L0R1P0,HEAVY EQUIPMENT OPERATOR,Construction Trade,Heavy Equipment Operator,Y,0.89,0.71,0.69,0.64,1.00,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,+,+,,,+,,,Y,0.97,0.51,0.35,0.80,ND,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,+,,,Y,0.97,0.51,0.35,0.80,ND,0.04
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,ADVANCED MEDICAL LASER TECHNICIAN ONLINE,Human Services,Esthetics/Medical Esthetics,Y,0.97,0.64,0.43,0.90,ND,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,ADVANCED MEDICAL LASER TECHNICIAN,Human Services,Esthetics/Medical Esthetics,Y,0.98,0.38,0.19,0.73,ND,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,ESTHETICS PROGRAM,Human Services,Esthetics/Medical Esthetics,Y,SS,ND,ND,ND,ND,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,MEDICAL AESTHETIC DIPLOMA,Human Services,Esthetics/Medical Esthetics,Y,SS,0.80,0.80,1.00,ND,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,SPA MANAGEMENT ONLINE,Human Services,Esthetics/Medical Esthetics,Y,1.00,0.00,0.00,0.50,ND,ND
200024,ADVANCED FINANCIAL SOLUTIONS INC.,101173,"LOOKS AESTHETIC ACADEMY, MISSISSAUGA",MISSISSAUGA,L4Z2Z1,SPA MANAGEMENT,Human Services,Esthetics/Medical Esthetics,Y,SS,ND,ND,ND,ND,ND
200031,688785 ONTARIO LTD.,+,+,,,+,,,Y,SS,SS,SS,SS,1.00,ND
200031,688785 ONTARIO LTD.,102165,"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY & PUBLIC SAFETY, TORONTO",MISSISSAUGA,L4Z3E9,+,,,Y,ND,SS,SS,SS,1.00,ND
200031,688785 ONTARIO LTD.,102165,"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY & PUBLIC SAFETY, TORONTO",MISSISSAUGA,L4Z3E9,POLICE FOUNDATIONS,Law and Public Safety,Law Enforcement/Police Foundations,Y,ND,SS,SS,SS,1.00,ND
200031,688785 ONTARIO LTD.,204108,"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY & PUBLIC SAFETY, TORONTO CAMPUS",SCARBOROUGH,M1S1A1,+,,,Y,SS,ND,ND,ND,ND,ND
200031,688785 ONTARIO LTD.,204108,"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY & PUBLIC SAFETY, TORONTO CAMPUS",SCARBOROUGH,M1S1A1,NACC PSW 2015,Health Services,Personal Support Worker/Personal Attendant,Y,SS,ND,ND,ND,ND,ND
200033,1327913 ONTARIO INC.,+,+,,,+,,,Y,0.70,0.94,0.79,0.88,1.00,ND
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,+,,,Y,0.71,0.97,0.80,0.88,1.00,0.14
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,ACCOUNTING & PAYROLL ADMINISTRATOR,Business,Accounting,Y,0.88,1.00,0.67,0.50,ND,ND
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,ADVANCED BUSINESS MANAGEMENT,Business,Business Administration,Y,ND,SS,SS,SS,1.00,ND
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,CHILD AND YOUTH WORKER,Community and Social Services,Community Services Worker,Y,0.40,1.00,0.80,0.83,ND,ND
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,COMMUNITY SERVICES WORKER,Community and Social Services,Community Services Worker,Y,0.57,SS,SS,SS,ND,ND
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,DEVELOPMENTAL SERVICE WORKER,Community and Social Services,Community Services Worker,Y,SS,ND,ND,ND,ND,ND
200033,1327913 ONTARIO INC.,101186,"GATES COLLEGE OF BUSINESS, CULINARY & HEALTHCARE, COBOURG",COBOURG,K9A5H7,ESTHETICS,Human Services,Esthetics/Medical Esthetics,Y,0.60,1.00,0.00,0.00,ND,ND
